,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,rocha,-34.4833,-54.3333,294.41,89,100,3.97,UY,1613163926
370,xinzhi,36.4989,111.7047,281.53,54,100,1.28,CN,1613163948
371,ola,59.5833,151.2833,258.03,84,100,2.19,RU,1613163948
372,niono,14.2526,-5.993,302.66,13,30,3.95,ML,1613163948
373,aleksandrovsk-sakhalinskiy,50.8975,142.1561,267.29,96,100,2.58,RU,1613163948
374,hualmay,-11.0964,-77.6139,298.93,60,84,5.38,PE,1613163948
375,aklavik,68.2191,-135.0107,248.15,77,40,2.06,CA,1613163948
376,guilin,25.2819,110.2864,281.15,100,0,1.41,CN,1613163949
377,grand forks,47.9417,-97.4337,250.15,41,1,4.12,US,1613163772
378,el reno,35.5323,-97.955,263.15,79,90,6.69,US,1613163949
379,airai,-8.9266,125.4092,289.29,100,83,0.13,TL,1613163949
380,great yarmouth,52.6083,1.7305,272.15,64,75,8.23,GB,1613163726
381,acapulco,16.8634,-99.8901,301.15,65,20,4.63,MX,1613163752
382,krasnyy chikoy,50.3643,108.7512,245.81,83,0,1.12,RU,1613163950
383,marsh harbour,26.5412,-77.0636,297.73,78,56,6.66,BS,1613163913
384,roebourne,-20.7833,117.1333,299.82,71,44,3.28,AU,1613163950
385,charters towers,-20.1,146.2667,295.35,77,46,4.41,AU,1613163950
386,andenes,69.3143,16.1194,272.15,80,75,6.17,NO,1613163950
387,avera,33.194,-82.5271,280.15,83,90,4.12,US,1613163951
388,fairbanks,64.8378,-147.7164,255.15,84,1,0.78,US,1613163932
389,havelock,34.8791,-76.9013,280.93,100,90,7.2,US,1613163951
390,birobidzhan,48.8,132.95,260.12,94,6,1.74,RU,1613163952
391,tura,25.5198,90.2201,289.17,46,0,0.7,IN,1613163952
392,safaga,26.7292,33.9365,292.15,34,0,4.63,EG,1613163952
393,chuy,-33.6971,-53.4616,294.64,90,100,4.53,UY,1613163952
394,christchurch,-43.5333,172.6333,290.37,77,75,7.2,NZ,1613163777
395,yulara,-25.2406,130.9889,289.15,88,90,6.17,AU,1613163720
396,shevchenkove,49.6959,37.1735,263.15,79,75,8.0,UA,1613163953
397,benghazi,32.1167,20.0667,288.37,67,7,2.08,LY,1613163953
398,mackay,-21.15,149.2,293.15,88,67,2.06,AU,1613163786
399,salinas,36.6777,-121.6555,288.15,58,20,2.06,US,1613163499
400,imphal,24.8167,93.95,282.64,69,0,0.74,IN,1613163954
401,vao,-22.6667,167.4833,298.72,77,37,2.36,NC,1613163954
402,fortuna,40.5982,-124.1573,284.82,100,75,3.09,US,1613163721
403,prabumulih,-3.45,104.25,296.24,98,100,0.89,ID,1613163954
404,geraldton,-28.7667,114.6,296.15,60,40,3.6,AU,1613163840
405,inuvik,68.3499,-133.7218,262.15,62,71,3.6,CA,1613163955
406,chara,56.9064,118.2631,249.06,82,100,2.5,RU,1613163955
407,suicheng,33.8963,117.9331,280.12,94,0,2.46,CN,1613163955
408,alta floresta,-9.8756,-56.0861,299.15,94,40,2.57,BR,1613163955
409,sobolevo,54.4299,31.8996,260.01,94,100,10.59,RU,1613163955
410,daru,-9.0763,143.2092,298.66,87,100,2.51,PG,1613163870
411,rio grande,-32.035,-52.0986,298.15,78,40,7.72,BR,1613163792
412,erenhot,43.6475,111.9767,260.86,91,0,3.67,CN,1613163956
413,lagoa,39.05,-27.9833,288.16,76,86,12.14,PT,1613163787
414,nuevitas,21.5453,-77.2644,303.15,54,40,6.69,CU,1613163956
415,caledon,-34.23,19.4265,295.37,82,4,0.45,ZA,1613163957
416,pistsovo,57.179,40.5298,257.15,78,90,7.0,RU,1613163957
417,qasigiannguit,68.8193,-51.1922,258.15,72,0,2.06,GL,1613163957
418,pedernales,18.0384,-71.744,301.37,51,23,0.63,DO,1613163957
419,atchison,39.563,-95.1216,258.15,70,100,6.45,US,1613163958
420,horsham,51.064,-0.3272,270.37,68,0,5.14,GB,1613163958
421,haifa,32.8156,34.9892,288.46,71,0,3.44,IL,1613163958
422,zhaotong,27.3167,103.7167,279.07,86,61,2.56,CN,1613163958
423,camacari,-12.6975,-38.3242,302.15,61,40,5.14,BR,1613163959
424,saint simons,31.1352,-81.3901,287.04,94,90,7.72,US,1613163959
425,bagdarin,54.4333,113.6,249.63,81,100,2.49,RU,1613163959
426,hay river,60.8156,-115.7999,248.15,77,63,1.54,CA,1613163916
427,asau,46.4333,26.4,263.71,45,15,5.45,RO,1613163815
428,nalut,30.3333,10.85,286.72,37,0,0.92,LY,1613163959
429,tahta,26.7693,31.5021,289.15,33,0,4.12,EG,1613163960
430,bitung,1.4451,125.1824,298.15,94,40,1.46,ID,1613163960
431,khasan,42.4308,130.6434,271.59,95,48,1.99,RU,1613163960
432,port hawkesbury,45.6169,-61.3485,272.04,93,90,4.63,CA,1613163960
433,mana,5.6592,-53.7767,298.68,86,87,6.01,GF,1613163960
434,san carlos de bariloche,-41.1456,-71.3082,303.71,21,40,6.17,AR,1613163763
435,saint-augustin,51.226,-58.6502,267.76,93,39,5.11,CA,1613163961
436,takoradi,4.8845,-1.7554,300.67,84,19,5.06,GH,1613163961
437,ploemeur,47.7333,-3.4333,275.15,60,90,7.2,FR,1613163961
438,policoro,40.2115,16.6726,282.15,71,20,3.09,IT,1613163961
439,moerewa,-35.3833,174.0333,294.26,69,0,1.79,NZ,1613163962
440,urozhaynoye,44.7883,44.9228,277.74,97,100,2.01,RU,1613163962
441,czluchow,53.6672,17.3588,267.04,89,86,2.28,PL,1613163962
442,adrar,20.5022,-10.0711,294.52,17,0,5.2,MR,1613163962
443,the valley,18.217,-63.0578,300.15,69,40,7.72,AI,1613163962
444,gidole,5.65,37.3667,290.11,59,38,0.25,ET,1613163963
445,armacao de pera,37.1026,-8.357,286.15,94,0,3.09,PT,1613163963
446,dali,25.7,100.1833,279.03,69,0,1.93,CN,1613163963
447,rosarito,32.3333,-117.0333,289.15,67,75,4.12,MX,1613163963
448,murgab,37.4966,61.9714,281.15,66,0,2.06,TM,1613163963
449,gat,31.61,34.7642,287.04,100,1,1.2,IL,1613163964
450,ahuimanu,21.4447,-157.8378,299.15,53,20,3.6,US,1613163964
451,ponta do sol,32.6667,-17.1,287.59,73,4,1.34,PT,1613163964
452,bonavista,48.6499,-53.1147,272.59,93,100,5.66,CA,1613163964
453,zhoucheng,35.9122,116.3117,280.37,94,0,2.83,CN,1613163965
454,shenzhen,22.5455,114.0683,290.37,93,74,0.41,CN,1613163686
455,wanning,18.8003,110.3967,289.13,84,4,1.95,CN,1613163965
456,rosita,13.9268,-84.4032,304.44,42,23,2.64,NI,1613163965
457,san juan del sur,11.2529,-85.8705,303.15,58,0,2.06,NI,1613163965
458,los andes,-32.8337,-70.5983,300.37,99,58,1.34,CL,1613163966
459,norman wells,65.282,-126.8329,250.15,84,1,2.06,CA,1613163942
460,barra do garcas,-15.89,-52.2567,295.66,93,100,0.75,BR,1613163966
461,amga,60.8953,131.9608,257.15,91,100,0.92,RU,1613163966
462,olafsvik,64.8945,-23.7142,276.96,74,94,12.41,IS,1613163930
463,yar-sale,66.8333,70.8333,243.87,87,100,0.51,RU,1613163844
464,arawa,-6.2132,155.5367,299.34,79,100,1.01,PG,1613163967
465,richards bay,-28.783,32.0377,297.16,91,46,0.24,ZA,1613163967
466,peachtree city,33.3968,-84.5958,282.04,93,90,1.54,US,1613163895
467,cardston,49.2,-113.3019,257.15,55,92,2.06,CA,1613163968
468,tooele,40.5308,-112.2983,281.15,66,90,3.6,US,1613163968
469,praia da vitoria,38.7333,-27.0667,288.71,72,20,7.95,PT,1613163876
470,mozarlandia,-14.7447,-50.5706,298.81,88,100,2.03,BR,1613163968
471,benguela,-12.5763,13.4055,296.94,76,45,1.87,AO,1613163968
472,balaka,-14.9793,34.9558,294.94,92,100,2.1,MW,1613163968
473,bow island,49.8668,-111.3684,253.71,65,100,3.6,CA,1613163969
474,saint anthony,45.0205,-93.218,253.71,38,1,4.63,US,1613163894
475,vagur,61.4732,-6.8119,276.51,77,81,13.57,FO,1613163969
476,egvekinot,66.3167,-179.1667,244.9,84,100,8.96,RU,1613163969
477,carballo,43.213,-8.691,285.15,82,20,2.57,ES,1613163969
478,hachinohe,40.5,141.5,270.1,94,61,2.38,JP,1613163970
479,ust-kuyga,70.0167,135.6,250.52,84,97,1.47,RU,1613163744
480,goderich,43.7501,-81.7165,265.15,67,100,2.57,CA,1613163970
481,shimoda,34.6667,138.95,277.59,87,66,1.99,JP,1613163970
482,haimen,23.1935,116.6142,288.15,94,41,1.0,CN,1613163970
483,mabaruma,8.2,-59.7833,300.49,67,3,3.38,GY,1613163970
484,pangkalanbuun,-2.6833,111.6167,296.22,97,27,0.98,ID,1613163814
485,port said,31.2565,32.2841,289.15,82,0,1.03,EG,1613163971
486,inzhavino,52.3185,42.4937,275.04,97,100,7.02,RU,1613163971
487,axim,4.8699,-2.2405,300.85,83,8,4.6,GH,1613163972
488,tual,-5.6667,132.75,301.76,79,100,4.78,ID,1613163972
489,nanakuli,21.3906,-158.1547,298.71,57,40,2.57,US,1613163808
490,porterville,36.0652,-119.0168,288.71,62,90,4.12,US,1613163937
491,shelburne,44.0787,-80.2041,263.15,59,100,2.24,CA,1613163972
492,beaver dam,43.4578,-88.8373,259.26,61,1,2.57,US,1613163973
493,sudak,44.85,34.9667,271.15,86,61,8.35,UA,1613163973
494,cap malheureux,-19.9842,57.6142,298.15,79,19,4.02,MU,1613163923
495,namibe,-15.1961,12.1522,297.1,73,29,1.47,AO,1613163973
496,nassjo,57.6531,14.6968,259.15,92,0,1.54,SE,1613163840
497,dondo,-19.6094,34.7431,300.15,83,75,5.66,MZ,1613163973
498,naze,28.3667,129.4833,290.45,89,97,9.55,JP,1613163828
499,mountain home,43.133,-115.6912,273.71,80,90,3.09,US,1613163974
500,konotop,51.2403,33.2026,259.72,95,100,5.4,UA,1613163974
501,ivanteyevka,55.9711,37.9208,259.26,78,75,9.0,RU,1613163974
502,inhambane,-23.865,35.3833,299.56,86,84,5.48,MZ,1613163875
503,krasnoarmeysk,51.0239,45.6969,274.26,89,100,2.24,RU,1613163975
504,bilma,18.6853,12.9164,292.75,22,22,1.31,NE,1613163975
505,viedma,-40.8135,-62.9967,302.04,51,92,0.45,AR,1613163975
506,tilichiki,60.4667,166.1,244.0,83,0,5.85,RU,1613163975
507,tiznit,29.5833,-9.5,290.5,63,54,0.79,MA,1613163976
508,puga,21.5833,-104.8167,293.15,60,75,3.09,MX,1613163976
509,concordia,-31.393,-58.0209,295.37,88,75,5.14,AR,1613163976
510,parelhas,-6.6878,-36.6575,303.18,49,44,9.01,BR,1613163976
511,petropavl,54.8753,69.1628,252.76,92,77,4.05,KZ,1613163976
512,manavalakurichi,8.1333,77.3,299.15,73,20,2.83,IN,1613163810
513,kailua,21.4022,-157.7394,299.15,53,20,3.6,US,1613163977
514,lahij,13.1667,44.5833,295.3,59,37,1.95,YE,1613163977
515,heiligenhafen,54.3667,10.9833,268.15,86,40,2.57,DE,1613163977
516,mezen,65.8522,44.24,248.53,90,31,1.69,RU,1613163977
517,along,28.1667,94.7667,285.08,63,52,0.88,IN,1613163978
518,fukue,32.6881,128.8419,287.83,64,85,4.08,JP,1613163679
519,sur,22.5667,59.5289,293.65,59,0,3.1,OM,1613163978
520,ocos,14.5094,-92.1933,304.15,58,40,6.17,GT,1613163978
521,anahuac,27.2333,-100.15,278.15,100,90,3.09,MX,1613163978
522,prince rupert,54.3161,-130.3201,273.15,29,1,4.12,CA,1613163978
523,aksu,41.1231,80.2644,272.01,90,0,0.17,CN,1613163979
524,panaba,21.2833,-88.2667,303.91,50,26,7.09,MX,1613163979
525,suba,10.8438,121.0102,300.24,81,85,5.4,PH,1613163979
526,san rafael,-34.6177,-68.3301,302.29,31,56,5.14,AR,1613163735
527,aden,12.7794,45.0367,297.53,69,10,4.83,YE,1613163834
528,kushima,31.4583,131.2333,287.38,85,99,3.66,JP,1613163769
529,sioux lookout,50.1001,-91.917,250.15,41,75,1.03,CA,1613163980
530,mukhen,48.1,136.1,270.75,97,98,2.66,RU,1613163980
531,ust-maya,60.4167,134.5333,256.33,89,100,1.55,RU,1613163980
532,iracoubo,5.4802,-53.2011,298.69,87,86,6.47,GF,1613163980
533,ryotsu,38.0833,138.4333,279.25,63,0,2.29,JP,1613163980
534,rayachoti,14.05,78.75,289.61,83,96,2.12,IN,1613163981
535,pinotepa nacional,16.3167,-98.0167,303.92,44,4,5.27,MX,1613163981
536,de-kastri,51.4667,140.7833,264.37,96,100,0.79,RU,1613163981
537,abu samrah,35.3029,37.1841,283.52,74,0,2.85,SY,1613163982
538,macia,-25.0269,33.0989,297.33,95,100,3.97,MZ,1613163982
539,begunitsy,59.5855,29.3176,255.15,85,75,3.0,RU,1613163982
540,khandbari,27.3747,87.2039,285.21,57,52,1.13,NP,1613163982
541,paraiso,9.8383,-83.8656,301.15,57,40,4.63,CR,1613163982
542,gimli,50.6336,-96.9907,244.15,57,100,3.6,CA,1613163982
543,montrose,38.4166,-108.2673,280.93,54,100,4.02,US,1613163983
544,ayna,-12.65,-73.9167,293.01,75,89,1.67,PE,1613163983
545,inyonga,-6.7167,32.0667,291.49,92,100,1.02,TZ,1613163983
546,awbari,26.5921,12.7805,288.64,30,0,3.54,LY,1613163983
547,katakwi,1.8911,33.9661,299.77,39,100,0.82,UG,1613163983
548,ribas do rio pardo,-20.4431,-53.7592,301.13,61,96,1.57,BR,1613163984
549,horta,38.5333,-28.6333,289.15,77,40,10.29,PT,1613163984
550,lahat,-3.8,103.5333,296.59,93,100,0.78,ID,1613163984
